aluno,nota1,nota2,nota3
Tlwzcqwgozjtybub,2.0,3.8,3.0
Qrkoe,0.1,4.3,5.4
Kitdwvquvqckqjmtusapuwrqjgbjaknirqc,0.2,3.3,6.0
Eijxqvnwgzgeblsoeotdhdqseinxj,9.6,4.4,6.3
Ljawjvoohdkwadlqxxqhcqhaskssyp,5.2,6.6,9.3
Oozsjqybomosyirxgxnmdmeptosokyczgvogbvzd,3.8,0.5,1.5
Pkowlhcvxzervhkrwpjjavdjezcihkb,6.3,2.1,9.9
Dpxxrohkddhychwdzivsmggsrncjyhnhyblwnibbk,7.4,2.3,8.2
Uidshpexzhhsvnwxserjgczgcasnt,5.2,0.9,9.4
Zivwagprxkbietysthfwsmyuqswy,1.2,9.3,4.8
Nruedcoquyrfwxejkb,8.9,8.2,2.9
Pbwhobujqpgksdqmiwgajbya,9.1,7.8,0.7
Qblpctmyxdcfgqdxubs,2.6,6.6,6.3
Jocowrbeyynglfdjymofp,0.6,0.8,6.8
Eabosqswhqxipdllh,6.2,5.0,2.2
Vkofvoc,9.6,5.7,1.1
Rmhzpkdvzxuginxbajjdseixsaeyxttfskfnhscbmaklnghk,2.9,0.6,5.2
Vcbhxxxsclfzdawnqjxhoivdrnafbkyyirr,6.8,0.2,2.7
Ibawxd,1.3,8.0,9.8
Bhhsttbbebeymoqvcxa,7.6,2.0,7.0
Ocjjsdkaexasvtwmnxamabircvhisqpuzoeqrbyxrsscwp,6.5,2.3,7.6
Qkwdzeadeyondqnvihquzceaniepu,4.2,6.2,3.5
Lejxgkjmrnciqgtydtzppbyqlzdvrmhomdbc,3.3,2.6,6.9
Edeebamohhbg,6.0,5.5,0.4
Oijaetxwzhobgxtlezwwpeoarljkgdaosc,9.5,2.5,9.5
Ehzccwsivoqosidwpashsirnuqvckkfnijzolueojg,4.6,6.2,6.1
Tllessso,6.4,1.1,2.9
Ftnpoyrptwayxkvkgtphzeuqwdgqgtnqeqnxcpocwdvzhhnio,6.2,9.7,4.8
Xhusvwcqazdvgghdsvvxtvthoqtbxbepmskmutqlhj,1.0,2.5,9.3
Tdumnpjatucqy,0.8,2.3,7.7
Fluhlbfrgpisrupiacjayamyqcrehzdbk,3.6,3.0,3.5
Qloentwxlf,2.7,0.5,7.5
Dvfhjlyoqxxmtlmxxugzpclzkgr,1.1,0.5,0.6
Akekhlybfklzuwabwvihcleqedzaktizwpcsronuyyqiberg,7.0,5.4,3.1
Bvatafkofteecgwmaqloatiwpqvrqefkndiths,0.9,6.5,3.6
Ibaqniqhreupcwoprahfdrjbvsifldamqbzgtxzgqzk,9.1,6.9,5.0
Ncfvikiyekfori,5.0,4.6,9.2
Eorhnkvtseuovepfclkjlllidmsaudwk,9.3,6.8,8.3
Iihdtpdddnpxkhewmeyrzalbv,4.1,3.7,7.7
Dztavxvxvkcukgzttrokxbvqnbfeqoczg,9.7,4.9,2.7
Rjoelqjcasrbxfnwaamnvrtggsnskikrrgocdxumidfaxwg,4.8,8.9,7.2
Eowrbpxygjbtnpcyuywns,5.4,5.5,3.6
Qasoplkftxrstnbxhmfmwt,3.9,4.8,9.3
Pdphbghfwnglgsxnoerwwyhhh,3.9,7.4,7.2
Mnfhf,3.3,6.6,0.5
Dtchqknqinzgmawpqflczbtnkgfvizy,7.9,4.1,9.9
Gtbqyotybcpexzikdpl,9.6,2.6,0.5
Dwvhgbbdklxcmyodlmmcytzakiylpywxixjzggt,0.8,1.4,5.4
Xzjfvlwgpuwijbvxahrmura,0.5,1.9,5.3
Vyjilmzhjpbrptxuk,0.8,6.4,5.0
Ovxykprzsak,6.2,2.0,7.5
Bkxjjqmzc,1.7,0.6,7.5
Dzuhcgcvdombktmximwmzpcpe,9.6,8.3,3.8
Dxdotajcrcgrg,5.6,4.6,9.6
Cybbwqyrpheoilgpvdonsamxraorhaaxhm,9.6,3.1,9.6
Qtydueecmlcjmkyxjtomlpobwigtkdtgrhkjsandch,3.4,7.1,3.7
Gfrpyogqkubguc,3.1,3.5,5.9
Jehl,8.9,7.8,6.8
Ilocngsbcpgaeuxfipmwcxbmtqzqepcoielwgekjaerxcngcy,7.4,5.3,7.8
Vtdixkoubjipfyrwv,5.8,3.5,9.7
Muyxsyfnwmconar,0.8,10.0,9.7
Kewzxckdqkgifowthd,8.9,8.2,7.6
Riyrienoyyvoeglitkatigfzrrfybbmdycebogxwohpohkvbvyi,5.6,3.5,0.2
Uqjgvbhumqstjktcnfhpivqxsearggoxwvdmtzwdsyxsq,4.0,7.5,9.6
Rqmqowmbfmdnw,7.2,2.5,7.6
Ymgcqiqmrfvadjlvehjnnzogt,9.7,4.7,8.8
Qxheipreazvcurcijfulexgombqgmukrcmh,8.4,3.0,4.0
Heaqbfznhgufcgoncffjsugzvwwkdizk,2.0,7.0,7.8
Yvzjhvthlpjojgmtilpuxebtfqvnrxzoawjuvoemznymacke,3.6,0.6,2.4
Ydrnafdyadydlcsrdgqlfhtwakqtbcdwgnytsyjniuuvgckblac,4.1,5.3,5.4
Jpgqocczdvyki,5.7,5.2,6.3
Ufxvlwfsrodmjeaosgojkegnwb,9.3,4.8,5.2
Vfeh,0.7,3.9,9.7
Ztfxihpbhxaehdgomwxkdlfrhpqshlgipjibaru,2.5,8.9,5.9
Qbvkjfowztza,8.8,9.5,8.0
Pliymhiotcwxovnvtumztbziiupvueiwdidqlzxa,8.3,1.2,1.2
Fmlexjkecejrfrsis,7.7,7.7,5.7
Nqephllnphppyzdslutfoyjcpflrohrgrzi,7.6,4.6,9.9
Djlcvauinkjbzwduvxwyhjmzrkjkdsimcvicqjdah,5.3,5.4,3.5
Iqxzyxgpbzfxx,3.6,8.9,8.8
Bcfmnbcn,9.0,4.3,2.4
Ehcvlmh,2.3,8.3,3.1
Fqrxqubdohdbvixubvirnppiqgqq,9.0,1.7,8.6
Cyrvhmcepwizyiiypyclmrvfbjmaehuffbckkhkwwltedpile,8.9,9.7,7.1
Fwtyxpqnihuntfdwknaeuosxcjgsvnhtorokvuwwgg,5.6,5.3,9.9
Xkimsyrg,1.4,2.5,4.6
Cragbaofjwdgxfqsinwmfrfvvhwauxgxgsztieqdblvkakehil,9.5,3.7,0.6
Rtuaqnswgzutnltvexxvmkcmijqjdrhqddgphc,8.3,2.1,1.2
Ekobzou,8.8,5.4,0.0
Vuuke,2.7,0.1,1.8
Ariicpvfmzzqd,2.6,0.4,6.0
Jhaeunzwffuasdaoxfjjapnwyrjahjthlhfiskpzmx,2.5,6.5,3.7
Zegmhklnecjhyxdppujwfchfjprwfrvwgnqnbtsbosqputwx,1.5,1.7,0.6
Eplidhndqazqnpmzchecesoiqnjxlgc,2.0,6.1,7.8
Aekemtkoomdcmnicyu,3.4,4.6,8.2
Sravgmonakbpnhbnljxvbunyhscolwlohutgrncsiyagy,8.1,3.1,8.1
Kstjpcjqfepuogqnftyfk,1.8,8.5,3.2
Unco,2.7,7.3,0.4
Cwiaba,4.9,7.5,5.7
Zrayyuilefigxkeyxbngymuwbuobkjvapctcdnnnciryogeo,4.7,1.7,8.7
Uarjdjdpircnqpiouobrrtyqvbvcdiikxnijxurucrizfqbrxhv,5.4,6.8,1.0
Hgtyitlachiczgkijfoqpmvzzuekyxojjzpenleqhc,7.6,9.8,4.4
Hkojnlqmejpvqdkdcnxctwlwpsgkurxmrezwiyswzhfhkyi,8.3,0.8,9.3
Jgmwoqcktybofdvgqasmgfwmziesiifpzqay,3.6,9.4,5.5
Fzbadhfnmproeeluuvktiiivlbuglxcprsgnhjiqpnrs,8.5,0.5,7.2
Gscjgewrcpwwvrtkpqpcedn,1.2,4.3,7.8
Wbgyotzjlzsfkangedkkkcevpxwsvnlmbmksaaowpko,9.0,5.8,4.4
Dlrugmlaxdbphreuzyynrpuzwaogkutyr,2.1,7.2,7.9
Hwalv,8.2,10.0,7.8
Iecssftgomarlqvjpibgmvnxr,3.4,8.6,2.3
Lnzcohboxziccr,4.3,7.8,5.6
Hujnhysuhevmzxdtsuealnuwejirfidxispjaobaccdfwkfqwl,2.8,4.2,5.8
Mqxothglxqaijiiqtleazqotswktk,9.1,9.5,5.0
Etptoj,2.1,3.0,2.1
Votqybwsdhlaizpoewfkkvahsrzimxuejxt,9.6,9.6,9.4
Owvterollzdmxsixxlltmwpxepuzldieaiozmgymwt,1.0,0.9,9.3
Nwwkvpbhmlbddceggdtrxzynzguclfyqpxtsjrnmhpwhqyraufb,4.5,9.5,10.0
Qeupunnzpchqdpvcbidfdblbopoeaxs,2.0,5.8,9.4
Uvrlshnlyiubymafrcqutwodnyvvet,4.4,5.3,8.2
Hrezcfodjuoijhnvuxffnuefec,9.1,7.7,2.9
Ixunxbatxpgwjegyzrrphmjuwskojkrkajymiipdqnmfhscsrlk,10.0,1.0,9.1
Fuhvd,5.8,3.6,1.5
Unarguyimnjbhrsczncnatdpegygmzgufnrrhyvvkkxptjawqt,7.1,3.4,2.2
Vuadocpugfdryjahsvxnogihinqgdmvqgghh,7.4,9.1,4.7
Sdndeaoqxazfgnilobbh,3.7,6.9,1.5
Xuxhpgggpvpacs,9.4,7.1,0.1
Grydjd,6.5,8.3,7.2
Byezjkmvxjtfarolojxymwhscpbfznipbvnmpwehqmd,0.2,1.1,7.9
Kzyrdujddxtmirn,2.7,0.2,7.2
Pzdthg,5.3,7.8,8.3
Ojttoyrjtxqj,0.9,5.0,5.7
Tymwutluustymtajycxpnyzpscmzmt,4.8,1.3,6.8
Nlzlfsrocivmurqylslfqergswjvssaveyvmep,8.7,5.1,0.5
Bqagr,1.1,8.9,0.3
Twxpetftymjrskatgyhxnhxdhsmkjtdypll,4.3,1.7,4.4
Fqdztqchbsobenywnhyqicfldsqlhunflhp,0.2,9.2,8.8
Qhnbfdyydfsjxrc,8.6,9.6,8.8
Qvmwzdafvmg,6.3,5.5,9.1
Ylcuvkidvrgkxxcicnaqxkhotjnimzgxaedh,4.6,1.0,7.4
Nkttfaudvndninzpizealhiuxrhuezbrrwinq,5.5,6.4,0.3
Opcbwvmhkcmypxulvdexwjkjxmdvpbllkyee,0.1,3.1,4.4
Kqrsuneblarxjwbqalpoihytrrwdepnmvwzlnhe,8.1,4.2,2.2
Rnripplqjfghjyuudcwtrndlgoidykuodtwuaextxuidqts,3.8,7.5,8.0
Mrsnxxvxg,7.1,6.9,5.1
Sqlpnnteuaumtpzeexyhxhtgmgwteqraxpnvvigvonhftz,8.6,8.8,7.1
Qfkhpfiusmwlsgfvurtxwnnlbftkrxsruqqsicegcwhfifkna,4.0,0.1,2.4
Syvhjjaslezbbmzdefyvlouac,0.8,8.2,5.4
Gwapxeyrqwwsndfyzkhlr,6.2,9.2,9.3
Mglwxokmjpajxgmvmbtcjxqwdeclskuwqekqtcnimvfg,7.3,6.5,1.8
Plmzixeodadjkkvzrbjknkbviqlraniyu,7.1,9.7,9.9
Tfqxh,2.0,9.2,7.0
Dyykwvzdwwyrttgyxerlzbcietidarxscsy,1.7,6.6,0.5
Majbwaitujltksuy,9.4,1.7,1.3
Zknhpblibmpnurxs,1.9,2.0,6.7
Ghovchsvzcltkbxxxowsveoszuc,1.3,3.3,0.2
Cvofukti,3.2,3.3,0.1
Kzjwxtqksso,2.7,3.6,1.8
Jhaxuehrzcdabw,5.6,6.2,6.0
Adgkwunauandauwrpwwkzfaoelunotcfxtgffmlofrlphw,7.9,7.0,8.4
Dijrtsxmilqmurmabfpvjtlkjhcpbccfumzfmyrnjluhwbtdmeg,0.7,5.7,4.8
Yyhluhfpojulyp,5.3,0.9,1.5
Wauowyotplxwxdydvxzwqyzozhljzvtyqnvdmm,8.7,8.9,7.3
Nlquqkoxhxeud,5.3,4.5,8.5
Gcif,4.7,7.5,5.0
Aaqloqo,0.1,2.6,5.9
Ibrlbdutwgbnrrhbkm,3.2,9.7,9.8
Euecgmsffwyhcvsau,0.3,1.1,1.8
Ozhhh,5.8,0.0,8.7
Cxmwxhjlwkxjbdvqgxqmpblhaiumtjjexdg,7.5,4.9,3.8
Jxzhseyvjonasexswkykrdzjil,2.2,2.1,3.1
Flylyfjnljlruupqxcquthloxempxmyopqkxskgmjzdjlnzopkl,3.5,0.3,4.2
Nwzpbyfylminneegyztqxgasddfqagrallulxzjjgwqpxyjqs,3.1,4.3,5.0
Tfwcijmydslualvhhv,5.4,8.5,7.0
Csaruquwzmyhriwuckcvgvae,5.4,9.8,8.9
Bejptwniqpvzludmrzctawzwldyzmjwizwasunx,0.9,0.1,5.9
Gkybcbiozxqx,8.9,6.7,2.4
Bdwajebhrsgtlpfkpswfgqynxuuexlfquapyzdamuynvrll,8.2,5.0,2.6
Osuxzgmktlyji,8.7,9.1,0.4
Pvogzwfloivipjacpgeq,6.5,8.7,6.5
Owcztoa,8.0,7.1,3.6
Vswedgldzt,1.0,3.6,4.3
Yowkxfrclkggqzngfjreuocbgeqw,0.2,8.1,5.2
Zsoafmrjbikiwrdukriykyextfgwcxesfkzplhlpjhih,7.3,5.7,0.2
Hgiyvrugpwiefqd,5.5,6.1,3.0
Cltuhgglqojmioeaogbbtdwhvzsdu,2.0,4.0,0.6
Zeacized,1.0,3.2,3.8
Siqo,1.0,5.9,5.1
Dfwcdqiiuqyq,7.2,5.7,0.8
Hgoxzmqeagocuczwjbhoxaelfvkqijulhc,2.6,9.7,7.2
Ztmyrorqxpbvnydvjtyqgyutoathawie,6.6,10.0,7.8
Wrzbqvkyxnbhqxjjkkxyalolgbgszvuwxuerwogrpzgg,6.0,4.5,4.0
Rquoedb,6.6,5.8,6.9
Mtqiftikyeazfqpbclbwnabfkllmoncqgyqzdcseyqzdb,5.2,6.0,8.2
Pftikaormviwrcrxfcltztdlcpaiebdhlz,2.1,5.9,4.0
Pldfbguyysnvpqep,0.8,3.2,2.5
Ttrwyqjlibghcfdzlgjnsscckkqyl,2.9,7.9,3.6
Zsipukhotgbmpuqzghfrccxxzayyudtmykvawtxbnlmcqhrdurm,4.7,1.0,7.8
Oeeihfutqceavpcylhiornqkisrperelbhbhppkdydmuh,4.2,1.8,0.5
Ytkbfdbnojedrsymmuqgekboawxujuanhmaworvqducr,1.1,8.6,3.9
Pabitylbubgvtxwxvjgprrwyozqmwohnvavfawvvo,1.3,2.0,7.0
Mjfvnwmhbkneinxuxivxqojztuxdnfdnxgyxtfanamjmdkyme,2.2,3.7,8.5
Zutjttupzsqkrqbqscsqknrfuofoxidhwawfyelzurlppi,3.7,0.5,6.5
Olyzqpbjrneqwrwnubxuvaejabmlkmyntlnko,7.0,4.1,8.3
Ipyitlrazndp,7.5,2.2,7.6
Vncxbylxulkjzdheo,2.0,4.8,4.3
Inegpbqfpltoclwdcmjbgzzapgdcybjhwvydgdgddhmnqoj,0.2,1.7,9.1
Qjlhibtmqjfwrcavfjajhwuhniwikzomhndmdtqeoqh,1.2,0.4,8.7
Nymqqejmwbic,2.0,7.5,4.4
Fkbupulrtztutujjqjvswjr,7.6,0.4,3.0
Soqzibochevxjqjoqdccsvolkxosewrdxsyewtrjhrva,3.8,1.1,2.7
Gremjyhvuvhitnwhtqbqxygbelfceihhxrtoejep,1.3,3.7,1.2
Jywbtkupfmmkchqprveimhykfnlqltu,5.4,9.2,5.7
Wzhzwdnfkabjuocliocimhidvuopqlmzvayxayrardoydcmyni,6.4,1.1,8.8
Grfpxpyqeqydxdycqbobmekagstzpstmskjhprmgow,4.4,8.4,8.0
Rmbmetnzgixxfyqwxbvwyvqtlypl,3.2,0.0,2.0
Lattttuexwzxuqfqc,6.5,4.0,4.0
Juhnhhkxwpndjgclsmakzjqlpylinlqarqku,9.3,4.3,8.3
Sxjkdicijckziiwasxqdfbpvakvwnpdcamxuzvvtpjzcac,9.1,1.5,6.4
Hksktubm,9.5,5.8,1.4
Xupczxqsoaolrqbnahdjfqycwfh,7.9,5.4,0.3
Vodzzam,5.7,5.3,8.2
Wynghnquxcajq,8.3,6.0,3.7
Uphdxhkuxjjkcugvdtiikmqbykslkifdoaizmin,7.4,5.3,7.4
Mweadoxejxqprkqhxgtb,6.7,6.6,4.9
Ergbjaizbpycqlmhznmjutrwtjtfbm,1.5,4.8,3.9
Rqoazlmsswdlowitwkdusnvdbasmiyrrmasxeazqkilugpcl,1.9,0.7,2.4
Roapoygwezgnypwgq,7.3,6.0,0.3
Vnyuqximjifntkpycr,5.5,9.2,4.4
Chxdqaxjpgaqvehbwmigevhqyawb,2.7,9.5,6.7
Zqygmcgszdlslabi,0.7,5.3,6.6
Siencvojutnfpysuuixiicexz,0.5,7.7,8.2
Bexqvtnzhenyvxweenfstkgnrjgtjkha,7.8,9.7,8.2
Topbthna,4.1,1.4,4.2
Uoskytbkjthnudwtdsypualulzqof,1.6,7.6,7.1
Dpmmsayxojtbskgubkhuy,1.4,4.1,5.7
Ukilxbzjgvexvjym,1.1,1.3,6.8
Duenrpgh,2.9,7.4,5.9
Bbxckbndtiwgaplnksgp,4.2,9.2,4.4
Kkajyfmsbvnvkdncync,9.5,5.1,5.2
Rhnzpfbfinox,4.5,2.4,4.9
Ohxelqdgeuttv,9.3,7.9,7.7
Cntjuwopslloembqqcngbkxyqucgmrurfdselifnecbaz,2.3,2.4,6.2
Bwavkeimieswutbzxjdzfjbxklrntcpjcwbjfhlleptnuzi,7.6,4.6,2.7
Peuxpd,9.1,9.9,0.8
Uspftxmzjsnnewyxshe,8.0,5.6,7.3
Ryxbxnuladesstzydgxikmvjduzcieywnsaajawbyksm,9.5,9.7,5.2
Wckczefbynxuaautkqfnvbix,9.9,0.6,9.1
Xyjlbw,4.7,6.0,7.7
Liqas,8.3,7.2,1.0
Vhdxmrotkqjdgfywenrjcyxeqjwo,9.9,8.8,7.7
Dkvbnjtovejouzedzvkiyzfafrssulkkrszqurvjajzfyr,4.7,5.9,8.6
Vctfanrdktzxetgchmgxperaekyofr,9.5,2.6,9.6
Evnwqcubdhlroykeieugwmlsqvxbjrgemcrvnzqzttycf,8.2,9.4,9.2
Ygtwvwfzimzaypqvjsncxtovbtukhlilfdskoae,3.5,4.9,6.4
Roslbzdidzbioc,2.1,0.9,1.1
Zbspkkioqdsnwxnnoaefk,2.2,3.4,4.7
Vpzwcbmbtbanms,8.6,6.5,5.0
Mylllduf,5.4,2.9,2.7
Arjbldzrxrutnmpbilqtkyxskjte,1.8,6.4,0.1
Sxguyyxlblqfovjiaxbtiilckxhventwokcwzsgyl,7.1,1.0,8.7
Kebyozmbhemboovn,7.8,5.4,4.1
Gsltwnhfsoqsbxoyxleajlnoojvmvcqznzyrdwoaqbnly,1.2,5.6,1.1
Yugmzalxwfcfgfzemetoiesgnnpfsalchccisjdchwamgznffqu,1.3,0.0,0.5
Udtccqfll,3.8,4.8,3.1
Vwstjerqijkdjjtfgzjmwmfkzuzocrfexbg,2.8,0.0,4.2
Ghajmmhxgkgmopmudluvboqwpcpxjatrswssgjcxjyrdygvbsje,3.7,9.9,1.0
Qfuzqcrcraknwgq,9.6,6.7,8.7
Qrvhgrjiorghrsfggxtwhscitlgbdsmsarcvnjcugojuzmos,6.8,2.0,3.7
Wexjgzmolmghqokljghjrejiindnqsbyhhfgrrm,9.0,4.9,1.3
Ltetcwl,8.9,4.7,7.7
Rxndnxdabqvpnnetonpowlvqfdnit,6.4,0.3,9.8
Qvtlrwvubzdjsirlzhcpbxxcbu,7.8,6.7,0.1
Gmiunbnxjwkuxgjruslbbdfmwbhvptvpphjnoarrseiu,8.8,4.0,6.4
Alutcqqauounbwoywksdnvdjbk,6.4,0.3,9.6
Qhzvl,0.2,2.9,0.5
Hqhbtmlphqiiwtxmmlws,8.2,9.5,2.1
Hunmitcpzporpilejkks,6.1,7.4,2.7
Wyxytwgrojmplbonyzelhwhoaweszxfb,5.5,0.6,3.6
Kekdqkueqbgkjkoschhrjwxbdrgxfyegapxdquaxpsbltzxtpll,1.4,9.9,6.9
Xueaxseuglhvjzywgsytukynna,1.4,7.3,5.8
Dxkgkftklrsiklycdigznqeareaetcar,4.5,5.7,2.8
Bzffdykc,9.8,0.3,7.6
Eimdccvemyqhmucyqhfyimaldonctmzlcwtdvgcdoamuitzk,0.0,8.2,4.5
Gbmtcvgrymduvivjsxcbsaogsossezmtbpqcskrsrgvqptslf,5.9,2.9,3.7
Hrxuzajikxqqbbzwkxldj,1.0,3.2,3.3
Ioevqqvoybjxlxiktbd,5.4,6.9,9.4
Fstijzotjibzndqverjpirsplnyrniz,0.0,1.3,9.5
Xwuvmysbupnzlc,5.1,9.6,5.7
Xfws,2.4,2.3,2.4
Acskbodhpaczdxjhdisfkukukybwdebcme,4.6,5.4,7.6
Ydtdghtmiiiwtsrdsvfkfg,6.7,5.6,7.1
Wsbsymvncfhnfwoabr,6.7,9.7,5.8
Itbwajmipcwtunnwutbvppgumodzahgpttzzhdxlpwsmxf,8.7,7.3,7.9
Gxumthtxhjonxkepyztwgwus,4.0,2.4,7.8
Duhkolbsguhvagycceeqivfotm,1.8,7.9,6.8
Umix,6.6,1.7,7.5
Misgajduyyhxeneysdiygsmnokmchrbfhmzvacqirnsehkwlyzs,7.3,2.4,4.0
Lprtqjam,5.3,3.0,5.6
Mxincccdedsugakaqazwolrkpyvenzfa,3.8,1.7,4.6
Rgirpobsturbopecwvlgdriaiwzhsozhyolhsixpbpe,0.8,9.1,2.3
Bpgdxvnhyghqqgdlvgouporrpqdfjcgnsrfffbwa,9.3,8.4,9.1
Ovhjnlhcebrsbhfxdmtmkxdkl,2.1,2.1,2.4
Lxsbgcdbplhycwwzpjflaamffsukshorkrpgdk,1.5,6.5,9.5
Pkmkppiwwzozmlcrwqmkyqmexmkkgdaanpcpcyu,1.8,2.4,1.7
Ruktrnkwuqkfzzlut,4.1,7.1,4.8
Cyitzginomrjkdgzsbngiunkdrbfdclupevcqkntjxgpmdpf,5.8,5.2,7.9
Pqpphctwnwwpzpczjeothbzt,3.9,1.1,5.1
Dqbtezeewdayvemxfeagcijbmdwhjprc,5.8,8.4,3.3
Egvzespetgsownamkxvamkxyljvfnkcxjpszuvqm,2.1,9.2,3.9
Ffgnaetcvsgfqfdldpsogdbypnoelpfkrz,7.3,6.3,1.8
Bbfgsgvxt,2.7,6.7,8.9
Nkegkslckmshqucqfzezhirhnkptqazxkmqttlssdlrcssy,10.0,7.2,6.8
Kbvukmtwtucwzxtbuqxykjgncpjiqbuqbuohjlyes,1.4,3.3,1.4
Odxsfblxwlgetvitynyvwvplzvzuokakf,2.0,6.3,3.3
Yhdpuymsyploiueeowqdhiwscrdaxq,3.8,8.0,0.8
Csnkwkpqknhxqqfulybponlkctxhvwhfjdljkdklqqqnjadomhs,5.7,6.7,8.3
Uddiednswdquaopzpqunaswskowjchaz,8.4,4.7,9.6
Expubkolibupbysjyejyhsri,1.9,9.6,0.8
Yirvqgvekssnishtx,9.5,0.4,2.1
Bwsyztpsqhrxiyokhnbltcr,2.8,8.1,1.9
Oxebxsasuvwovdqlsaxguztcvu,8.4,8.1,5.8
Qaviqaombeomdntivfjxkouzwzhuulheinanplemk,4.4,8.6,1.2
Iermlrhkkhjaohbuuoyselphkamwgxfqyij,0.5,6.7,7.3
Tkgjdxfvxvbrkjqkidhtkpgwws,0.9,9.3,2.8
Zozfuenjbmrfgvyqlhguxm,2.9,8.7,2.9
Gtidfvzijngupialgkzzsfmrtvozqdsglqabahnfsoayjxlhziq,9.0,0.2,2.1
Btdjpmqzgiahpyehbasae,1.6,6.9,7.4
Rogudhdjcismiqjbaolg,2.0,0.3,7.5
Poniosylvzljmbojkszj,0.3,0.4,3.2
Wqhfmutlljmefyorlybkxintyufgjnedquheyqtmohtoeoua,4.4,5.0,2.0
Fvkz,3.2,8.9,5.4
Eermvwpyimqhzgbdvvttelhfaicllkszdohjx,5.8,4.3,5.2
Ygifdtrnqbodixytca,2.7,7.2,8.9
Samhum,1.4,1.9,2.2
Trdheprtguqzqdldgdsnlxmsytnkkdemblhloxkmmprgqfzhv,3.1,2.1,4.2
Usfowaiykqpzsqqpgccot,6.1,9.6,9.9
Qlcurgumzwcsu,9.4,9.7,7.3
Wkeptwlwoeiioeakpitjzhcqbntrhu,5.1,6.4,9.8
Eqquzycpj,3.6,1.5,6.9
Zajdjhorehwcvvfeavyftjwedqdvoleusfnkxqwgdawrh,1.6,2.0,5.0
Wqcgzsltnsulmlvsczqfrvizihzwbnkeojsnhyvhqyaiufnu,9.4,4.5,8.7
Jqrwsmnwhnrbshpwzigvqzvcrohfnxinzm,5.1,2.3,3.5
Tkqxilccgcrjgq,8.1,1.3,6.4
Mebvmzxznrpionvpvbxeosio,7.3,2.0,6.6
Ezshokykwnicvujlbibijmosyifsiwnmeaytwzprpnht,0.8,7.1,7.4
Xvkawbdamzvxcyozzvihalczbtomurwbwfxs,3.5,4.4,3.2
Biyiivefjzbxmrkflgggfsfywmdcscivn,6.0,4.6,8.3
Awealaraowpaxav,8.6,0.2,3.5
Lryswwgvqhfzseqrpbu,8.0,9.3,3.1
Dmefkvlzpxezfpdvfhlabekmvpsbjptgddzr,0.6,5.3,9.9
Cqpimqnmbtnowomhlisxeyphqfdtlzhitkkbczgyffha,9.9,2.0,4.6
Bbtcaimleemcvcpf,7.9,1.2,0.5
Xgfynqpugwraqlxrdjkwnwem,4.3,8.6,0.3
Qsfcccjvdhxwvkkwepxdlvmeqezbbgxcnbunqihtg,9.5,1.2,6.1
Acpoljsxsycjswvrjjlwzjshdzqicjdljtgux,0.4,5.0,1.5
Gclvpene,6.1,7.8,8.9
Crxkakudropwzqztpaxiobcogzfyeqafpislcfmdrcbbn,8.9,5.7,5.5
Teuyhxnwnbnbrs,6.5,1.5,9.5
Algvs,2.7,2.4,4.6
Vlkvspnkuohvfevpekoncvpd,8.3,1.9,7.6
Jbyzwnbzcqjv,0.6,7.6,9.1
Cdhxlw,2.2,7.9,9.5
Qycbijmvbfszbtdlrbfddqx,2.3,5.4,5.0
Kqyrhxcgqaselfkqatamtrjufqdjesgqylg,8.2,2.8,0.8
Oxfev,9.8,7.7,3.7
Jagaurhavqxtvwccheyckhmvodqgcvgjnkwhlntflzjksr,8.1,7.3,2.6
Usukt,3.0,4.1,6.9
Jtcciygfoshwlpirnwx,7.9,1.6,3.0
Apfybeirfjuxlbuwkaoaitgbrbfgkxwhjhtdcxvvtqgb,9.1,5.6,5.3
Crbppgtzrlskpmqkisgexpfazsowixpb,0.8,3.7,2.0
Glxtxbabxahewtlxhl,6.0,3.2,4.8
Nrdwei,2.3,4.0,5.6
Mnxjuiohgakgffniiqkrbywhcwucijdzstiz,5.5,5.4,6.7
Wrhqzfe,0.1,7.0,2.7
Kcxiqfzatuxtmmpljwmcbevz,9.5,3.4,1.1
Eljgbvrsskchffqxowehiahxxnlsdpdlacsdvwzjwsbxpf,3.3,4.7,2.0
Fycwryyainbvivzteufgcsfflvxzlia,1.1,0.7,0.7
Avfyjmiwntojplwcdnmlqlxzl,4.7,3.5,3.8
Rkvhmewgoapjkrymtxzbmiddqcyhrbimzpsgjtqylwgr,5.4,6.0,6.9
Qveihvxdeokinpjrdzikcoqfpucpjmykcowqm,8.9,8.2,9.6
Xlibagzskdgwmvnjhnkghdavwqbhfrzohqqfue,5.5,7.2,2.8
Txtpnfmpwodrushjvtlyehmdjrygl,6.0,7.8,1.0
Acnohjhbctisgjzdqvtlhxgcdqchuxkewunzwxntxmdhuxlzuj,3.9,6.4,0.1
Dqocdnuuchlaktdogcvnrwbopctxryredbflasuhr,9.2,4.2,7.7
Dqfqkymplgajfscxsovdctsxdjkfyrbbwxrubxoxwmbqhqjm,8.3,6.3,8.5
Xyvrsyuhmtuxzdykwxrdprtasislpbdh,2.8,8.8,2.4
Bldqscrw,4.2,8.8,5.4
Eljyhdgsxhifxuhgylbqn,6.7,2.7,2.2
Wwohbo,5.5,3.5,6.3
Rhpinpzs,2.0,4.5,1.1
Ouxsp,6.4,9.1,3.1
Ydlgpqcublfylp,3.5,7.1,2.8
